caseid,event
case0,A
case0,B
case0,C
case0,E
case0,G
case0,H
case0,I
case0,J
case0,K
case0,M
case1,A
case1,B
case1,C
case1,E
case1,G
case1,H
case1,I
case1,J
case1,K
case1,M
case2,A
case2,B
case2,C
case2,E
case2,G
case2,H
case2,I
case2,J
case2,K
case2,M
case3,A
case3,B
case3,C
case3,E
case3,G
case3,H
case3,I
case3,J
case3,K
case3,M
case4,A
case4,B
case4,C
case4,E
case4,G
case4,H
case4,I
case4,J
case4,K
case4,M
case5,A
case5,B
case5,C
case5,E
case5,G
case5,H
case5,I
case5,J
case5,K
case5,M
case6,A
case6,B
case6,C
case6,E
case6,G
case6,H
case6,I
case6,J
case6,K
case6,M
case7,A
case7,B
case7,C
case7,E
case7,G
case7,H
case7,I
case7,J
case7,K
case7,M
case8,A
case8,B
case8,C
case8,E
case8,G
case8,H
case8,I
case8,J
case8,K
case8,M
case9,A
case9,B
case9,C
case9,E
case9,G
case9,H
case9,I
case9,J
case9,K
case9,M
case10,A
case10,N
case10,O
case10,Q
case10,R
case10,S
case10,C
case10,D
case10,F
case10,H
case10,I
case10,J
case10,K
case10,M
case11,A
case11,N
case11,O
case11,Q
case11,R
case11,S
case11,C
case11,D
case11,F
case11,H
case11,I
case11,J
case11,K
case11,M
case12,A
case12,N
case12,O
case12,Q
case12,R
case12,S
case12,C
case12,D
case12,F
case12,H
case12,I
case12,J
case12,K
case12,M
case13,A
case13,N
case13,O
case13,Q
case13,R
case13,S
case13,C
case13,D
case13,F
case13,H
case13,I
case13,J
case13,K
case13,M
case14,A
case14,N
case14,O
case14,Q
case14,R
case14,S
case14,C
case14,D
case14,F
case14,H
case14,I
case14,J
case14,K
case14,M
case15,A
case15,N
case15,O
case15,Q
case15,R
case15,S
case15,C
case15,D
case15,F
case15,H
case15,I
case15,J
case15,K
case15,M
case16,A
case16,N
case16,O
case16,Q
case16,R
case16,S
case16,C
case16,D
case16,F
case16,H
case16,I
case16,J
case16,K
case16,M
case17,A
case17,N
case17,O
case17,Q
case17,R
case17,S
case17,C
case17,D
case17,F
case17,H
case17,I
case17,J
case17,K
case17,M
case18,A
case18,N
case18,O
case18,Q
case18,R
case18,S
case18,C
case18,D
case18,F
case18,H
case18,I
case18,J
case18,K
case18,M
case19,A
case19,N
case19,O
case19,Q
case19,R
case19,S
case19,C
case19,D
case19,F
case19,H
case19,I
case19,J
case19,K
case19,M
case20,A
case20,N
case20,O
case20,Q
case20,R
case20,S
case20,C
case20,E
case20,G
case20,H
case20,I
case20,J
case20,K
case20,M
case21,A
case21,N
case21,O
case21,Q
case21,R
case21,S
case21,C
case21,E
case21,G
case21,H
case21,I
case21,J
case21,K
case21,M
case22,A
case22,N
case22,O
case22,Q
case22,R
case22,S
case22,C
case22,E
case22,G
case22,H
case22,I
case22,J
case22,K
case22,M
case23,A
case23,N
case23,O
case23,Q
case23,R
case23,S
case23,C
case23,E
case23,G
case23,H
case23,I
case23,J
case23,K
case23,M
case24,A
case24,N
case24,O
case24,Q
case24,R
case24,S
case24,C
case24,E
case24,G
case24,H
case24,I
case24,J
case24,K
case24,M
case25,A
case25,N
case25,O
case25,Q
case25,R
case25,S
case25,C
case25,E
case25,G
case25,H
case25,I
case25,J
case25,K
case25,M
case26,A
case26,N
case26,O
case26,Q
case26,R
case26,S
case26,C
case26,E
case26,G
case26,H
case26,I
case26,J
case26,K
case26,M
case27,A
case27,N
case27,O
case27,Q
case27,R
case27,S
case27,C
case27,E
case27,G
case27,H
case27,I
case27,J
case27,K
case27,M
case28,A
case28,N
case28,O
case28,Q
case28,R
case28,S
case28,C
case28,E
case28,G
case28,H
case28,I
case28,J
case28,K
case28,M
case29,A
case29,N
case29,O
case29,Q
case29,R
case29,S
case29,C
case29,E
case29,G
case29,H
case29,I
case29,J
case29,K
case29,M
case30,A
case30,N
case30,O
case30,Q
case30,R
case30,S
case30,C
case30,E
case30,G
case30,H
case30,I
case30,J
case30,L
case30,M
case31,A
case31,N
case31,O
case31,Q
case31,R
case31,S
case31,C
case31,E
case31,G
case31,H
case31,I
case31,J
case31,L
case31,M
case32,A
case32,N
case32,O
case32,Q
case32,R
case32,S
case32,C
case32,E
case32,G
case32,H
case32,I
case32,J
case32,L
case32,M
case33,A
case33,N
case33,O
case33,Q
case33,R
case33,S
case33,C
case33,E
case33,G
case33,H
case33,I
case33,J
case33,L
case33,M
case34,A
case34,N
case34,O
case34,Q
case34,R
case34,S
case34,C
case34,E
case34,G
case34,H
case34,I
case34,J
case34,L
case34,M
case35,A
case35,N
case35,O
case35,Q
case35,R
case35,S
case35,C
case35,E
case35,G
case35,H
case35,I
case35,J
case35,L
case35,M
case36,A
case36,N
case36,O
case36,Q
case36,R
case36,S
case36,C
case36,E
case36,G
case36,H
case36,I
case36,J
case36,L
case36,M
case37,A
case37,N
case37,O
case37,Q
case37,R
case37,S
case37,C
case37,E
case37,G
case37,H
case37,I
case37,J
case37,L
case37,M
case38,A
case38,N
case38,O
case38,Q
case38,R
case38,S
case38,C
case38,E
case38,G
case38,H
case38,I
case38,J
case38,L
case38,M
case39,A
case39,N
case39,O
case39,Q
case39,R
case39,S
case39,C
case39,E
case39,G
case39,H
case39,I
case39,J
case39,L
case39,M
case40,A
case40,N
case40,O
case40,P
case40,C
case40,E
case40,G
case40,H
case40,I
case40,J
case40,K
case40,M
case41,A
case41,N
case41,O
case41,P
case41,C
case41,E
case41,G
case41,H
case41,I
case41,J
case41,K
case41,M
case42,A
case42,N
case42,O
case42,P
case42,C
case42,E
case42,G
case42,H
case42,I
case42,J
case42,K
case42,M
case43,A
case43,N
case43,O
case43,P
case43,C
case43,E
case43,G
case43,H
case43,I
case43,J
case43,K
case43,M
case44,A
case44,N
case44,O
case44,P
case44,C
case44,E
case44,G
case44,H
case44,I
case44,J
case44,K
case44,M
case45,A
case45,N
case45,O
case45,P
case45,C
case45,E
case45,G
case45,H
case45,I
case45,J
case45,K
case45,M
case46,A
case46,N
case46,O
case46,P
case46,C
case46,E
case46,G
case46,H
case46,I
case46,J
case46,K
case46,M
case47,A
case47,N
case47,O
case47,P
case47,C
case47,E
case47,G
case47,H
case47,I
case47,J
case47,K
case47,M
case48,A
case48,N
case48,O
case48,P
case48,C
case48,E
case48,G
case48,H
case48,I
case48,J
case48,K
case48,M
case49,A
case49,N
case49,O
case49,P
case49,C
case49,E
case49,G
case49,H
case49,I
case49,J
case49,K
case49,M
case50,A
case50,N
case50,O
case50,P
case50,C
case50,E
case50,G
case50,H
case50,I
case50,J
case50,L
case50,M
case51,A
case51,N
case51,O
case51,P
case51,C
case51,E
case51,G
case51,H
case51,I
case51,J
case51,L
case51,M
case52,A
case52,N
case52,O
case52,P
case52,C
case52,E
case52,G
case52,H
case52,I
case52,J
case52,L
case52,M
case53,A
case53,N
case53,O
case53,P
case53,C
case53,E
case53,G
case53,H
case53,I
case53,J
case53,L
case53,M
case54,A
case54,N
case54,O
case54,P
case54,C
case54,E
case54,G
case54,H
case54,I
case54,J
case54,L
case54,M
case55,A
case55,N
case55,O
case55,P
case55,C
case55,E
case55,G
case55,H
case55,I
case55,J
case55,L
case55,M
case56,A
case56,N
case56,O
case56,P
case56,C
case56,E
case56,G
case56,H
case56,I
case56,J
case56,L
case56,M
case57,A
case57,N
case57,O
case57,P
case57,C
case57,E
case57,G
case57,H
case57,I
case57,J
case57,L
case57,M
case58,A
case58,N
case58,O
case58,P
case58,C
case58,E
case58,G
case58,H
case58,I
case58,J
case58,L
case58,M
case59,A
case59,N
case59,O
case59,P
case59,C
case59,E
case59,G
case59,H
case59,I
case59,J
case59,L
case59,M
case60,A
case60,N
case60,O
case60,Q
case60,R
case60,S
case60,C
case60,D
case60,F
case60,H
case60,I
case60,J
case60,L
case60,M
case61,A
case61,N
case61,O
case61,Q
case61,R
case61,S
case61,C
case61,D
case61,F
case61,H
case61,I
case61,J
case61,L
case61,M
case62,A
case62,N
case62,O
case62,Q
case62,R
case62,S
case62,C
case62,D
case62,F
case62,H
case62,I
case62,J
case62,L
case62,M
case63,A
case63,N
case63,O
case63,Q
case63,R
case63,S
case63,C
case63,D
case63,F
case63,H
case63,I
case63,J
case63,L
case63,M
case64,A
case64,N
case64,O
case64,Q
case64,R
case64,S
case64,C
case64,D
case64,F
case64,H
case64,I
case64,J
case64,L
case64,M
case65,A
case65,N
case65,O
case65,Q
case65,R
case65,S
case65,C
case65,D
case65,F
case65,H
case65,I
case65,J
case65,L
case65,M
case66,A
case66,N
case66,O
case66,Q
case66,R
case66,S
case66,C
case66,D
case66,F
case66,H
case66,I
case66,J
case66,L
case66,M
case67,A
case67,N
case67,O
case67,Q
case67,R
case67,S
case67,C
case67,D
case67,F
case67,H
case67,I
case67,J
case67,L
case67,M
case68,A
case68,N
case68,O
case68,Q
case68,R
case68,S
case68,C
case68,D
case68,F
case68,H
case68,I
case68,J
case68,L
case68,M
